accuracy,budget,causal_k,composition_steps,excess_over_generated_oracle,generated_candidates,heldout_seed,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,train_seed_count,validation_samples_per_seed,validation_static_base_mode
0.5,4,8,600,0.028907,4,11,pairwise,400,0.971301,static_validation_base_choice,40,600,11,1.0,2,90,2048,4,180,interaction
0.5,4,8,600,0.028112,4,11,pairwise,400,0.970506,static_learned_interaction,40,600,11,1.0,2,90,2048,4,180,interaction
0.5,4,8,600,0.029864,4,11,pairwise,400,0.972258,composition_regret_argmax,40,600,11,0.644444,1.522222,90,2048,4,180,interaction
0.5,4,8,600,0.026355,4,11,pairwise,400,0.968749,composition_regret_expected,40,600,11,0.8,1.544444,90,2048,4,180,interaction
0.511111,4,8,600,0.028869,4,11,pairwise,400,0.971263,composition_regret_count_only,40,600,11,0.566667,1.566667,90,2048,4,180,interaction
0.511111,4,8,600,0.0,4,11,pairwise,400,0.942394,generated_oracle,40,600,11,0.666667,1.588889,90,2048,4,180,interaction
0.455556,4,8,600,0.024789,4,13,pairwise,400,0.989433,static_validation_base_choice,40,600,13,1.0,0,90,2048,4,180,indexed
0.455556,4,8,600,0.031709,4,13,pairwise,400,0.996354,static_learned_interaction,40,600,13,1.0,2,90,2048,4,180,indexed
0.488889,4,8,600,0.020305,4,13,pairwise,400,0.98495,composition_regret_argmax,40,600,13,0.777778,1.5,90,2048,4,180,indexed
0.488889,4,8,600,0.02486,4,13,pairwise,400,0.989505,composition_regret_expected,40,600,13,0.888889,1.622222,90,2048,4,180,indexed
0.488889,4,8,600,0.019483,4,13,pairwise,400,0.984128,composition_regret_count_only,40,600,13,0.655556,1.611111,90,2048,4,180,indexed
0.522222,4,8,600,0.0,4,13,pairwise,400,0.964645,generated_oracle,40,600,13,0.611111,1.322222,90,2048,4,180,indexed
0.5,4,8,600,0.019111,4,17,pairwise,400,0.976364,static_validation_base_choice,40,600,17,1.0,2,90,2048,4,180,learned
0.5,4,8,600,0.019111,4,17,pairwise,400,0.976364,static_learned_interaction,40,600,17,1.0,2,90,2048,4,180,learned
0.5,4,8,600,0.017287,4,17,pairwise,400,0.974539,composition_regret_argmax,40,600,17,0.644444,1.544444,90,2048,4,180,learned
0.5,4,8,600,0.016785,4,17,pairwise,400,0.974038,composition_regret_expected,40,600,17,0.766667,1.755556,90,2048,4,180,learned
0.5,4,8,600,0.017848,4,17,pairwise,400,0.975101,composition_regret_count_only,40,600,17,0.522222,1.644444,90,2048,4,180,learned
0.511111,4,8,600,0.0,4,17,pairwise,400,0.957253,generated_oracle,40,600,17,0.722222,1.655556,90,2048,4,180,learned
0.533333,4,8,600,0.03599,4,19,pairwise,400,1.002764,static_validation_base_choice,40,600,19,1.0,2,90,2048,4,180,interaction
0.533333,4,8,600,0.036025,4,19,pairwise,400,1.002799,static_learned_interaction,40,600,19,1.0,2,90,2048,4,180,interaction
0.533333,4,8,600,0.026378,4,19,pairwise,400,0.993152,composition_regret_argmax,40,600,19,0.8,1.333333,90,2048,4,180,interaction
0.533333,4,8,600,0.029303,4,19,pairwise,400,0.996077,composition_regret_expected,40,600,19,0.833333,1.477778,90,2048,4,180,interaction
0.555556,4,8,600,0.026303,4,19,pairwise,400,0.993077,composition_regret_count_only,40,600,19,0.644444,1.488889,90,2048,4,180,interaction
0.644444,4,8,600,0.0,4,19,pairwise,400,0.966774,generated_oracle,40,600,19,0.633333,1.422222,90,2048,4,180,interaction
0.544444,4,8,600,0.046302,4,23,pairwise,400,0.997574,static_validation_base_choice,40,600,23,1.0,0,90,2048,4,180,indexed
0.544444,4,8,600,0.044863,4,23,pairwise,400,0.996135,static_learned_interaction,40,600,23,1.0,2,90,2048,4,180,indexed
0.555556,4,8,600,0.048382,4,23,pairwise,400,0.999654,composition_regret_argmax,40,600,23,0.688889,1.822222,90,2048,4,180,indexed
0.544444,4,8,600,0.047504,4,23,pairwise,400,0.998776,composition_regret_expected,40,600,23,0.755556,1.766667,90,2048,4,180,indexed
0.555556,4,8,600,0.04899,4,23,pairwise,400,1.000262,composition_regret_count_only,40,600,23,0.622222,1.866667,90,2048,4,180,indexed
0.6,4,8,600,0.0,4,23,pairwise,400,0.951272,generated_oracle,40,600,23,0.633333,1.311111,90,2048,4,180,indexed
0.5,4,16,600,0.036723,4,11,pairwise,400,0.971821,static_validation_base_choice,40,600,11,1.0,2,90,2048,4,180,learned
0.5,4,16,600,0.036723,4,11,pairwise,400,0.971821,static_learned_interaction,40,600,11,1.0,2,90,2048,4,180,learned
0.5,4,16,600,0.020629,4,11,pairwise,400,0.955726,composition_regret_argmax,40,600,11,0.588889,1.755556,90,2048,4,180,learned
0.488889,4,16,600,0.026123,4,11,pairwise,400,0.961221,composition_regret_expected,40,600,11,0.755556,1.777778,90,2048,4,180,learned
0.488889,4,16,600,0.022533,4,11,pairwise,400,0.957631,composition_regret_count_only,40,600,11,0.466667,1.866667,90,2048,4,180,learned
0.544444,4,16,600,0.0,4,11,pairwise,400,0.935098,generated_oracle,40,600,11,0.577778,1.7,90,2048,4,180,learned
0.5,4,16,600,0.059514,4,13,pairwise,400,0.948618,static_validation_base_choice,40,600,13,0.355556,2.511111,90,2048,4,180,proximity
0.522222,4,16,600,0.056724,4,13,pairwise,400,0.945828,static_learned_interaction,40,600,13,1.0,2,90,2048,4,180,proximity
0.533333,4,16,600,0.040636,4,13,pairwise,400,0.92974,composition_regret_argmax,40,600,13,0.622222,1.955556,90,2048,4,180,proximity
0.522222,4,16,600,0.04557,4,13,pairwise,400,0.934674,composition_regret_expected,40,600,13,0.766667,1.855556,90,2048,4,180,proximity
0.533333,4,16,600,0.041026,4,13,pairwise,400,0.93013,composition_regret_count_only,40,600,13,0.511111,2.066667,90,2048,4,180,proximity
0.555556,4,16,600,0.0,4,13,pairwise,400,0.889104,generated_oracle,40,600,13,0.488889,1.766667,90,2048,4,180,proximity
0.5,4,16,600,0.030557,4,17,pairwise,400,0.931978,static_validation_base_choice,40,600,17,1.0,2,90,2048,4,180,learned
0.5,4,16,600,0.030557,4,17,pairwise,400,0.931978,static_learned_interaction,40,600,17,1.0,2,90,2048,4,180,learned
0.511111,4,16,600,0.020156,4,17,pairwise,400,0.921577,composition_regret_argmax,40,600,17,0.577778,1.733333,90,2048,4,180,learned
0.511111,4,16,600,0.024962,4,17,pairwise,400,0.926382,composition_regret_expected,40,600,17,0.755556,1.788889,90,2048,4,180,learned
0.5,4,16,600,0.02376,4,17,pairwise,400,0.925181,composition_regret_count_only,40,600,17,0.411111,1.888889,90,2048,4,180,learned
0.522222,4,16,600,0.0,4,17,pairwise,400,0.901421,generated_oracle,40,600,17,0.666667,1.655556,90,2048,4,180,learned
0.5,4,16,600,0.041492,4,19,pairwise,400,0.971019,static_validation_base_choice,40,600,19,0.288889,2.544444,90,2048,4,180,proximity
0.488889,4,16,600,0.043424,4,19,pairwise,400,0.972951,static_learned_interaction,40,600,19,1.0,2,90,2048,4,180,proximity
0.533333,4,16,600,0.027886,4,19,pairwise,400,0.957413,composition_regret_argmax,40,600,19,0.666667,1.566667,90,2048,4,180,proximity
0.522222,4,16,600,0.032615,4,19,pairwise,400,0.962142,composition_regret_expected,40,600,19,0.766667,1.733333,90,2048,4,180,proximity
0.566667,4,16,600,0.024909,4,19,pairwise,400,0.954436,composition_regret_count_only,40,600,19,0.533333,1.7,90,2048,4,180,proximity
0.611111,4,16,600,0.0,4,19,pairwise,400,0.929527,generated_oracle,40,600,19,0.611111,1.611111,90,2048,4,180,proximity
0.522222,4,16,600,0.094408,4,23,pairwise,400,0.969598,static_validation_base_choice,40,600,23,1.0,0,90,2048,4,180,indexed
0.511111,4,16,600,0.133146,4,23,pairwise,400,1.008336,static_learned_interaction,40,600,23,1.0,2,90,2048,4,180,indexed
0.588889,4,16,600,0.114352,4,23,pairwise,400,0.989542,composition_regret_argmax,40,600,23,0.711111,1.777778,90,2048,4,180,indexed
0.6,4,16,600,0.115564,4,23,pairwise,400,0.990754,composition_regret_expected,40,600,23,0.866667,1.677778,90,2048,4,180,indexed
0.566667,4,16,600,0.116346,4,23,pairwise,400,0.991536,composition_regret_count_only,40,600,23,0.633333,1.844444,90,2048,4,180,indexed
0.666667,4,16,600,0.0,4,23,pairwise,400,0.87519,generated_oracle,40,600,23,0.488889,1.777778,90,2048,4,180,indexed
0.466667,4,32,600,0.034608,4,11,pairwise,400,1.025025,static_validation_base_choice,40,600,11,1.0,0,90,2048,4,180,indexed
0.466667,4,32,600,0.034137,4,11,pairwise,400,1.024553,static_learned_interaction,40,600,11,1.0,2,90,2048,4,180,indexed
0.455556,4,32,600,0.032312,4,11,pairwise,400,1.022729,composition_regret_argmax,40,600,11,0.711111,1.344444,90,2048,4,180,indexed
0.488889,4,32,600,0.031424,4,11,pairwise,400,1.02184,composition_regret_expected,40,600,11,0.844444,1.666667,90,2048,4,180,indexed
0.455556,4,32,600,0.035236,4,11,pairwise,400,1.025652,composition_regret_count_only,40,600,11,0.611111,1.444444,90,2048,4,180,indexed
0.522222,4,32,600,0.0,4,11,pairwise,400,0.990416,generated_oracle,40,600,11,0.533333,1.822222,90,2048,4,180,indexed
0.5,4,32,600,0.032921,4,13,pairwise,400,0.990135,static_validation_base_choice,40,600,13,1.0,0,90,2048,4,180,indexed
0.466667,4,32,600,0.031937,4,13,pairwise,400,0.989151,static_learned_interaction,40,600,13,1.0,2,90,2048,4,180,indexed
0.488889,4,32,600,0.029587,4,13,pairwise,400,0.986801,composition_regret_argmax,40,600,13,0.766667,1.322222,90,2048,4,180,indexed
0.488889,4,32,600,0.031932,4,13,pairwise,400,0.989146,composition_regret_expected,40,600,13,0.9,1.677778,90,2048,4,180,indexed
0.488889,4,32,600,0.0303,4,13,pairwise,400,0.987514,composition_regret_count_only,40,600,13,0.677778,1.411111,90,2048,4,180,indexed
0.566667,4,32,600,0.0,4,13,pairwise,400,0.957214,generated_oracle,40,600,13,0.588889,1.566667,90,2048,4,180,indexed
0.455556,4,32,600,0.02005,4,17,pairwise,400,1.006883,static_validation_base_choice,40,600,17,0.333333,2.533333,90,2048,4,180,proximity
0.455556,4,32,600,0.019177,4,17,pairwise,400,1.00601,static_learned_interaction,40,600,17,1.0,2,90,2048,4,180,proximity
0.466667,4,32,600,0.023519,4,17,pairwise,400,1.010352,composition_regret_argmax,40,600,17,0.555556,1.666667,90,2048,4,180,proximity
0.455556,4,32,600,0.021447,4,17,pairwise,400,1.00828,composition_regret_expected,40,600,17,0.788889,1.755556,90,2048,4,180,proximity
0.466667,4,32,600,0.023602,4,17,pairwise,400,1.010435,composition_regret_count_only,40,600,17,0.455556,1.766667,90,2048,4,180,proximity
0.544444,4,32,600,0.0,4,17,pairwise,400,0.986833,generated_oracle,40,600,17,0.733333,1.722222,90,2048,4,180,proximity
0.477778,4,32,600,0.040186,4,19,pairwise,400,1.003158,static_validation_base_choice,40,600,19,0.3,2.611111,90,2048,4,180,proximity
0.5,4,32,600,0.039846,4,19,pairwise,400,1.002818,static_learned_interaction,40,600,19,1.0,2,90,2048,4,180,proximity
0.522222,4,32,600,0.036069,4,19,pairwise,400,0.999041,composition_regret_argmax,40,600,19,0.722222,1.322222,90,2048,4,180,proximity
0.5,4,32,600,0.03818,4,19,pairwise,400,1.001152,composition_regret_expected,40,600,19,0.866667,1.655556,90,2048,4,180,proximity
0.522222,4,32,600,0.035337,4,19,pairwise,400,0.998309,composition_regret_count_only,40,600,19,0.6,1.444444,90,2048,4,180,proximity
0.555556,4,32,600,0.0,4,19,pairwise,400,0.962972,generated_oracle,40,600,19,0.511111,1.844444,90,2048,4,180,proximity
0.488889,4,32,600,0.051761,4,23,pairwise,400,0.997941,static_validation_base_choice,40,600,23,1.0,2,90,2048,4,180,learned
0.488889,4,32,600,0.051761,4,23,pairwise,400,0.997941,static_learned_interaction,40,600,23,1.0,2,90,2048,4,180,learned
0.655556,4,32,600,0.043022,4,23,pairwise,400,0.989202,composition_regret_argmax,40,600,23,0.711111,1.644444,90,2048,4,180,learned
0.6,4,32,600,0.042369,4,23,pairwise,400,0.988549,composition_regret_expected,40,600,23,0.922222,1.722222,90,2048,4,180,learned
0.655556,4,32,600,0.043098,4,23,pairwise,400,0.989278,composition_regret_count_only,40,600,23,0.6,1.755556,90,2048,4,180,learned
0.7,4,32,600,0.0,4,23,pairwise,400,0.94618,generated_oracle,40,600,23,0.533333,1.666667,90,2048,4,180,learned
